id,category_code,degree,domain_name,original_phases,replace_type,target_produced_words1,target_produced_words2,Word,Sentiment
14801,28,80,general,mix up,Ngram,mix-up,mix-up,mix-up,Negative
14802,27,80,general,golden age,Ngram,golden-age,golden-age,golden-age,Positive
14803,28,80,general,backing out,Ngram,backing-out,backing-out,backing-out,Negative
14804,28,80,general,mixed up,Ngram,mixed-up,mixed-up,mixed-up,Negative
14805,27,80,general,grand slam,Ngram,grand-slam,grand-slam,grand-slam,Positive
14806,28,80,general,basket case,Ngram,basket-case,basket-case,basket-case,Negative
14807,28,80,general,mix-up,Ngram,mix-up,mix-up,mix-up,Negative
14808,27,80,general,gravy train,Ngram,gravy-train,gravy-train,gravy-train,Positive
14809,28,80,general,basket-case,Ngram,basket-case,basket-case,basket-case,Negative
14810,28,80,general,monday blues,Ngram,monday-blues,monday-blues,monday-blues,Negative
14811,27,80,general,green fingers,Ngram,green-fingers,green-fingers,green-fingers,Positive
14812,28,80,general,be disagreeable,Ngram,be-disagreeable,be-disagreeable,be-disagreeable,Negative
14813,28,80,general,muck up,Ngram,muck-up,muck-up,muck-up,Negative
14814,27,80,general,grin like a cheshire cat,Ngram,grin-like-a-cheshire-cat,grin-like-a-cheshire-cat,grin-like-a-cheshire-cat,Positive
14815,28,80,general,beat the tar out of,Ngram,beat-the-tar-out-of,beat-the-tar-out-of,beat-the-tar-out-of,Negative
14816,28,80,general,muddle-headed,Ngram,muddle-headed,muddle-headed,muddle-headed,Negative
14817,27,80,general,happy go lucky,Ngram,happy-go-lucky,happy-go-lucky,happy-go-lucky,Positive
14818,28,80,general,beat-down,Ngram,beat-down,beat-down,beat-down,Negative
14819,28,80,general,mutual hostility,Ngram,mutual-hostility,mutual-hostility,mutual-hostility,Negative
14820,27,80,general,happy-go-lucky,Ngram,happy-go-lucky,happy-go-lucky,happy-go-lucky,Positive
14821,28,80,general,behind the eight ball,Ngram,behind-the-eight-ball,behind-the-eight-ball,behind-the-eight-ball,Negative
14822,28,80,general,nagging doubt,Ngram,nagging-doubt,nagging-doubt,nagging-doubt,Negative
14823,27,80,general,having fun,Ngram,having-fun,having-fun,having-fun,Positive
14824,28,80,general,bell the cat,Ngram,bell-the-cat,bell-the-cat,bell-the-cat,Negative
14825,28,80,general,nail-biting,Ngram,nail-biting,nail-biting,nail-biting,Negative
14826,27,80,general,head rush,Ngram,head-rush,head-rush,head-rush,Positive
14827,28,80,general,bent out of shape,Ngram,bent-out-of-shape,bent-out-of-shape,bent-out-of-shape,Negative
14828,28,80,general,nerve-racking,Ngram,nerve-racking,nerve-racking,nerve-racking,Negative
14829,27,80,general,health and prosperity,Ngram,health-and-prosperity,health-and-prosperity,health-and-prosperity,Positive
14830,28,80,general,between a rock and a hard place,Ngram,between-a-rock-and-a-hard-place,between-a-rock-and-a-hard-place,between-a-rock-and-a-hard-place,Negative
14831,28,80,general,nervous restlessness,Ngram,nervous-restlessness,nervous-restlessness,nervous-restlessness,Negative
14832,27,80,general,heart to heart,Ngram,heart-to-heart,heart-to-heart,heart-to-heart,Positive
14833,28,80,general,between the devil and the deep blue sea,Ngram,between-the-devil-and-the-deep-blue-sea,between-the-devil-and-the-deep-blue-sea,between-the-devil-and-the-deep-blue-sea,Negative
14834,28,80,general,nervous wreck,Ngram,nervous-wreck,nervous-wreck,nervous-wreck,Negative
14835,27,80,general,heart-to-heart,Ngram,heart-to-heart,heart-to-heart,heart-to-heart,Positive
14836,28,80,general,bewilder someone,Ngram,bewilder-someone,bewilder-someone,bewilder-someone,Negative
14837,28,80,general,no good,Ngram,no-good,no-good,no-good,Negative
14838,27,80,general,high hopes,Ngram,high-hopes,high-hopes,high-hopes,Positive
14839,28,80,general,big stink,Ngram,big-stink,big-stink,big-stink,Negative
14840,27,80,general,high jinks,Ngram,high-jinks,high-jinks,high-jinks,Positive
14841,28,80,general,biting one's nails,Ngram,biting-one's-nails,biting-ones-nails,biting-one's-nails,Negative
14842,28,80,general,nose in the air,Ngram,nose-in-the-air,nose-in-the-air,nose-in-the-air,Negative
14843,27,80,general,high spirits,Ngram,high-spirits,high-spirits,high-spirits,Positive
14844,28,80,general,black and blue,Ngram,black-and-blue,black-and-blue,black-and-blue,Negative
14845,28,80,general,not comfortable,Ngram,not-comfortable,not-comfortable,not-comfortable,Negative
14846,27,80,general,high-spirited,Ngram,high-spirited,high-spirited,high-spirited,Positive
14847,28,80,general,black book,Ngram,black-book,black-book,black-book,Negative
14848,28,80,general,not content,Ngram,not-content,not-content,not-content,Negative
14849,27,80,general,high-spiritedness,Ngram,high-spiritedness,high-spiritedness,high-spiritedness,Positive
14850,28,80,general,black eye,Ngram,black-eye,black-eye,black-eye,Negative
14851,28,80,general,not enough ,Ngram,not-enough,not-enough,not-enough,Negative
14852,27,80,general,high spirited,Ngram,high-spirited,high-spirited,high-spirited,Positive
14853,28,80,general,black hole,Ngram,black-hole,black-hole,black-hole,Negative
14854,28,80,general,not enough room to swing a cat,Ngram,not-enough-room-to-swing-a-cat,not-enough-room-to-swing-a-cat,not-enough-room-to-swing-a-cat,Negative
14855,27,80,general,high spiritedness,Ngram,high-spiritedness,high-spiritedness,high-spiritedness,Positive
14856,28,80,general,black list,Ngram,black-list,black-list,black-list,Negative
14857,28,80,general,not feeling at ease,Ngram,not-feeling-at-ease,not-feeling-at-ease,not-feeling-at-ease,Negative
14858,27,80,general,hit it big,Ngram,hit-it-big,hit-it-big,hit-it-big,Positive
14859,28,80,general,black lists,Ngram,black-lists,black-lists,black-lists,Negative
14860,28,80,general,not feeling well,Ngram,not-feeling-well,not-feeling-well,not-feeling-well,Negative
14861,27,80,general,hold the trump card,Ngram,hold-the-trump-card,hold-the-trump-card,hold-the-trump-card,Positive
14862,28,80,general,black look,Ngram,black-look,black-look,black-look,Negative
14863,28,80,general,not good,Ngram,not-good,not-good,not-good,Negative
14864,27,80,general,holding aces,Ngram,holding-aces,holding-aces,holding-aces,Positive
14865,28,80,general,black mark,Ngram,black-mark,black-mark,black-mark,Negative
14866,28,80,general,not with it,Ngram,not-with-it,not-with-it,not-with-it,Negative
14867,27,80,general,honor-bound,Ngram,honor-bound,honor-bound,honor-bound,Positive
14868,28,80,general,black out,Ngram,black-out,black-out,black-out,Negative
